run_id,algorithm,timestamp,total_timesteps,training_time_seconds,hp_learning_rate,hp_gamma,hp_clip_range,hp_n_epochs,hp_batch_size,hp_n_steps,hp_gae_lambda,hp_ent_coef,hp_vf_coef,hp_max_grad_norm,hp_policy_kwargs,eval_mean_reward,eval_std_reward,eval_min_reward,eval_max_reward,eval_mean_length,eval_survival_rate,eval_extinction_rate,eval_mean_final_pop,eval_mean_final_habitat,notes
1,ppo,2026-03-27T11:02:36.139615,500000,1998.6,0.0003,0.99,0.2,10,64,2048,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",349.6631612835298,17.585988837364127,310.6031487073055,378.24324231674734,120.0,1.0,0.0,0.6518031160099529,0.4359768130759988,Baseline — default PPO
2,ppo,2026-03-27T11:35:48.792878,500000,1987.8,0.001,0.99,0.2,10,64,2048,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",325.38688286497666,23.57287070212785,260.8945213962956,358.79149909482277,120.0,1.0,0.0,0.5958173038686108,0.40727518859278,High LR (1e-3) — fast learning
3,ppo,2026-03-27T12:10:17.232914,500000,2065.5,5e-05,0.99,0.2,10,64,2048,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",90.3910631438718,24.841120619544075,38.127034858443295,143.9560856060936,66.05,0.0,1.0,0.4001776271387154,0.2775806462842987,Low LR (5e-5) — slow stable training
4,ppo,2026-03-27T12:47:01.761516,500000,2199.5,0.0003,0.99,0.1,10,64,2048,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",341.58433554697234,12.995487095415914,314.0160803340979,364.083558120483,120.0,1.0,0.0,0.6542300028907752,0.3841351553294894,Tight clip (0.1) — conservative policy updates
5,ppo,2026-03-27T13:38:16.156470,500000,3069.5,0.0003,0.99,0.3,20,64,2048,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",349.2566809731232,18.928144244177894,311.32662717892714,378.76140066610975,120.0,1.0,0.0,0.6298122725269494,0.4861438696733419,Wide clip (0.3) + more epochs (20) — aggressive updates
6,ppo,2026-03-27T14:18:29.436764,500000,2408.5,0.0003,0.99,0.2,10,64,2048,0.95,0.05,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",343.3383120963641,12.355483618442747,319.14214388903065,362.74577031269024,120.0,1.0,0.0,0.6441569149663333,0.42230516382350114,High entropy (0.05) — encourage exploration
7,ppo,2026-03-27T15:02:41.566281,500000,2647.2,0.0003,0.95,0.2,10,64,2048,0.9,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",303.75587909725766,29.256210402931877,223.2459247787887,349.09818026329026,120.0,1.0,0.0,0.5284855156522794,0.4192478177226161,Low gamma (0.95) + low GAE lambda (0.9) — short horizon
8,ppo,2026-03-27T15:45:40.315112,500000,2573.7,0.0003,0.99,0.2,10,128,4096,0.95,0.01,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",359.09041519906805,11.598392941524212,329.49313724757485,382.2773952274322,120.0,1.0,0.0,0.6981038500987008,0.39299407745527526,Large rollout (4096 steps) + large batch (128)
9,ppo,2026-03-27T16:43:01.571694,500000,3435.1,0.0003,0.99,0.2,10,64,2048,0.95,0.01,1.0,0.5,"{'net_arch': {'pi': [256, 256, 128], 'vf': [256, 256, 128]}}",330.414576541973,23.380191800989607,247.94545613050207,364.2843943533582,120.0,1.0,0.0,0.6278168266731586,0.3643435040826782,Deep network (3 layers) + high vf_coef (1.0)
10,ppo,2026-03-27T17:44:22.257817,500000,3675.2,0.0001,0.995,0.15,15,64,2048,0.98,0.02,0.5,0.5,"{'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}",328.06207932752216,23.82867616556594,281.83138894947336,356.3819270224167,120.0,1.0,0.0,0.5930051199780949,0.3773095399390424,"Tuned — mid LR, high gamma, moderate clip, balanced"
