run_id,algorithm,timestamp,total_timesteps,training_time_seconds,hp_learning_rate,hp_gamma,hp_hidden_layers,hp_entropy_coef,hp_use_baseline,hp_episodes_per_update,hp_max_grad_norm,hp_optimizer,eval_mean_reward,eval_std_reward,eval_min_reward,eval_max_reward,eval_mean_length,eval_survival_rate,eval_extinction_rate,eval_mean_final_pop,eval_mean_final_habitat,notes
1,reinforce,2026-03-27T19:06:29.000952,500000,1705.9,0.001,0.99,"[256, 256]",0.01,True,5,0.5,adam,-18.908941801705645,18.69441413417918,-71.15361271254815,-0.3877834205331707,32.35,0.0,1.0,0.1431292080014361,0.10596856484307375,Baseline — standard REINFORCE with baseline
2,reinforce,2026-03-27T19:28:43.007734,500000,1332.7,0.001,0.99,"[256, 256]",0.01,False,5,0.5,adam,8.774641150049694,10.188065675689465,-25.472127652861953,22.976175415389378,33.75,0.0,1.0,0.2803383912437343,0.23991262151093268,No baseline — pure REINFORCE (high variance)
3,reinforce,2026-03-27T19:54:41.379200,500000,1556.7,0.0001,0.99,"[256, 256]",0.01,True,5,0.5,adam,-14.740651770908974,14.694840724990415,-46.86206928566452,10.481437244742974,40.0,0.0,1.0,0.2747900131415584,0.1911634344000558,Low LR (1e-4) — slower but stabler
4,reinforce,2026-03-27T20:23:48.297355,500000,1744.8,0.005,0.99,"[256, 256]",0.01,True,5,0.5,adam,-27.17496973814466,16.812710860055063,-61.98630922660094,-0.377216884193845,39.5,0.0,1.0,0.15759615500130236,0.04845732283168417,High LR (5e-3) — fast learning test
5,reinforce,2026-03-27T20:49:04.963316,500000,1515.5,0.001,0.95,"[256, 256]",0.01,True,5,0.5,adam,-3.888795124539704,11.399753634594425,-43.92232055529758,8.91871812610066,33.2,0.0,1.0,0.21457816959940795,0.21642263382992238,Low gamma (0.95) — short-term focus
6,reinforce,2026-03-27T21:14:58.029786,500000,1552.0,0.001,0.99,"[256, 256]",0.05,True,5,0.5,adam,-52.79595235067219,24.583463448879762,-108.27764274797602,-27.953728206039493,33.85,0.0,1.0,0.13164296854038604,0.09231352025012407,High entropy (0.05) — encourage exploration
7,reinforce,2026-03-27T21:43:34.603262,500000,1715.2,0.001,0.99,"[256, 256, 256]",0.01,True,5,0.5,adam,-20.69822752185623,16.8462357740391,-55.85951931356854,5.151962914527523,39.5,0.0,1.0,0.25196232745103153,0.04845732283168417,Deep network (3×256) — more capacity
8,reinforce,2026-03-27T22:04:05.558140,500000,1230.0,0.001,0.99,"[128, 64]",0.01,True,10,0.5,adam,-2.0760216625756662,11.083182115618325,-37.85219251376876,15.267515876598086,33.75,0.0,1.0,0.20733824705438106,0.23991262151093268,"Small network (128,64) + more episodes per update (10)"
9,reinforce,2026-03-27T22:30:41.808679,500000,1595.2,0.0005,0.99,"[256, 256]",0.001,True,5,1.0,rmsprop,-18.908941801705645,18.69441413417918,-71.15361271254815,-0.3877834205331707,32.35,0.0,1.0,0.1431292080014361,0.10596856484307375,RMSprop optimizer + low entropy
10,reinforce,2026-03-27T22:55:18.614149,500000,1475.7,0.0005,0.999,"[256, 128]",0.02,True,15,0.5,adam,-7.205609718648458,11.682308074408391,-44.55557739739578,10.628417576158347,33.75,0.0,1.0,0.23447070335296885,0.09179080033931605,Large batch (15 episodes) + high gamma (0.999)
